Substation ID,Substation Name,Nominal Voltage, Transformer Capacity,Firm Capacity,Maximum Demand (MVA),Demand Classification,Substation Class,Demand Headroom (MVA),lat,long
4038594,Wheatley Park,11.0,18.75,23,8.775,GREEN,Primary,14.225,53.540461,-1.112612
4038589,Belmont Avenue,11.0,23.0,23,18.355,GREEN,Primary,4.645,53.511419,-1.139629
4038588,Bentley,11.0,24.0,24,11.901,GREEN,Primary,12.099,53.558668,-1.141408
4038590,Greyfriars Rd,11.0,23.0,24,9.716,GREEN,Primary,14.284,53.526154,-1.138085
7256105,Greyfriars Road 3/4,11.0,30.0,30,8.433,GREEN,Primary,21.567,53.526049,-1.139236
4038592,Jarratt Street,11.0,23.0,23,20.05,AMBER,Primary,2.9499999999999993,53.51757,-1.130309
4038763,Belthorpe Lane,11.0,24.0,8,4.547,GREEN,Primary,3.4530000000000003,53.981491,-0.79181
4038723,Brett Street,11.0,24.0,24,19.052,GREEN,Primary,4.948,54.089043,-0.204622
4038725,Burton Pidsea,11.0,24.0,9,4.818,GREEN,Primary,4.182,53.774009,-0.09583
4038700,Butterwick,11.0,15.0,6.5,5.08,AMBER,Primary,1.42,54.131403,-0.48916
4038790,Driffield,11.0,24.0,24,16.803,GREEN,Primary,7.196999999999999,53.999307,-0.417046
4038822,Hayton,11.0,12.5,15.3,13.25,GREEN,Primary,2.0500000000000007,53.908293,-0.764206
4038713,Hunmanby,11.0,24.0,24,8.433,GREEN,Primary,15.567,54.188613,-0.326872
4038724,Martongate,11.0,12.5,15.3,12.958,GREEN,Primary,2.3420000000000005,54.103497,-0.182286
4038760,Sandhill Lane,11.0,10.0,8,5.05,GREEN,Primary,2.95,53.917812,-0.898826
4038826,Seaton,11.0,20.0,20,16.962,GREEN,Primary,3.0380000000000003,53.905038,-0.220865
4038683,Commonside Lane,11.0,24.0,24,16.675,GREEN,Primary,7.324999999999999,53.678464,-1.37698
4038680,Normanton,11.0,23.0,23,17.512,GREEN,Primary,5.4879999999999995,53.695065,-1.4286
4038690,Prince of Wales,11.0,23.0,23,10.763,GREEN,Primary,12.237,53.698648,-1.319298
4038681,Sharlston,11.0,23.0,23,11.366,GREEN,Primary,11.634,53.674047,-1.423231
4038685,Wellington Street,11.0,23.0,23,16.766,GREEN,Primary,6.234000000000002,53.725394,-1.364704
4038461,Crown Street,11.0,23.0,8,4.788,GREEN,Primary,3.2119999999999997,53.797297,-1.768317
