Primary Substation,Voltage (kV),BSP Group,BCA Group (GSP),Easting,Northing,Firm Capacity (MVA),Demand Headroom (MW)
BRAMHALL,11,HAZEL GROVE,BREDBURY,389440,386463,12,5
BRIDGEWATER,6.6,BLOOM ST,SOUTH MANCHESTER,383543,397628,9.1,7.8
BRINKSWAY,6.6,ADSWOOD,BREDBURY,388434,389885,4.6,8.7
BROADHEATH,11,ALTRINCHAM,CARRINGTON,376412,389026,7.6,14.3
BROADWAY,6.6,LANCASTER,HEYSHAM,344792,464471,7.2,12
BUCKSHAW,11,LEYLAND,PENWORTHAM ,356748,421312,12,10.9
BURNLEY,6.6,BURNLEY,ROCHDALE,385569,434469,4.6,15.7
BURNLEY CENTRE,6.6,BURNLEY,ROCHDALE,384308,432288,7.2,9.8
BURNLEY NORTH,6.6,BURNLEY,ROCHDALE,384418,434168,7.2,1.2
BURROW BECK,11,LANCASTER,HEYSHAM,347903,458401,12,6.3
BURSCOUGH BRIDGE,11,WRIGHTINGTON,PENWORTHAM ,344595,412486,12,4.7
BURY TOWN CENTRE,6.6,BURY,KEARSLEY,380863,410807,4.6,8.3
BUSHELL ST,6.6,RIBBLE,PENWORTHAM ,353809,430094,4.6,5.8
CAMPBELL ST,11,KEARSLEY LOCAL,KEARSLEY,372937,406428,12,6.3
CANNON ST,6.6,RED BANK,WHITEGATE,384064,398635,4.6,14.9
CAPONTREE,11,CARLISLE,HARKER,352906,559671,7.6,15.1
CARLETON,11,EGREMONT,HARKER,308796,498305,12,3.1
CARLISLE NORTH,11,-,HARKER,338547,560280,12,11.4
CARR ST,11,KEARSLEY LOCAL,KEARSLEY,376984,401329,7.6,9.9
CASTLETON,6.6,CASTLETON,ROCHDALE,388461,411290,7.2,6.2
CATTERALL WATERWORKS,6.6,RIBBLE,PENWORTHAM ,349381,442178,4.6,0
CECIL ST,6.6,BLACKPOOL,PENWORTHAM ,331301,437023,7.2,10.9
CENTRAL MANCHESTER,6.6,STUART ST,STALYBRIDGE,384852,397718,7.2,15.3
CHADDERTON,6.6,CHADDERTON,WHITEGATE,389161,403872,4.6,14.6
CHAMBERHALL,6.6,BURY,KEARSLEY,380280,411215,6.9,3.4
CHAPEL WHARF,6.6,FREDERICK RD,KEARSLEY,383499,398634,7.2,0
CHASSEN RD,6.6,BARTON,CARRINGTON,375542,394453,7.2,2.5
CHATSWORTH ST,11,BARROW & SANDGATE,HARKER,319188,470003,15.2,7.6
CHEADLE HEATH,6.6,ADSWOOD,BREDBURY,387062,389054,7.2,5
CHEADLE HULME,11,ADSWOOD,BREDBURY,387386,386308,12,8.1
CHEETHAM HILL,6.6,AGECROFT,KEARSLEY,383606,402218,4.6,3.1
CHELFORD,11,MOSS NOOK,SOUTH MANCHESTER,382184,373490,7.6,10.6
CHESTER RD T11 & T12,6.6,STRETFORD,SOUTH MANCHESTER,381030,396165,7.2,4
CHESTER RD T13,6.6,STRETFORD,SOUTH MANCHESTER,381040,396175,7.2,8.6
CHORLEY SOUTH,11,WRIGHTINGTON,PENWORTHAM ,358658,417041,15.2,2
CHORLTON,6.6,WEST DIDSBURY,SOUTH MANCHESTER,381411,393754,4.6,3.3
CHURCH,6.6,HUNCOAT,PADIHAM,374687,428919,9.1,1
CLARENDON RD,6.6,BLACKBURN,PENWORTHAM ,369051,429883,4.6,9.8
CLAUGHTON,11,LANCASTER,HEYSHAM,355872,466268,12,0.3
BLACKBURN RD CLAYTON,6.6,HUNCOAT,PADIHAM,374632,430529,7.2,11.6
CLEVELEYS,6.6,BISPHAM,PENWORTHAM ,332286,443104,7.2,4.6
CLIFTON JUNCTION,11,KEARSLEY LOCAL,KEARSLEY,379289,403073,12,6.1
CLOVER HILL,6.6,NELSON,PADIHAM,386638,437064,7.2,9.2
COG LANE,6.6,HUNCOAT,PADIHAM,382462,432232,9.1,6.5
CONISTON,11,ULVERSTON,HARKER,329874,497641,7.6,0
COPSE RD,6.6,THORNTON,STANAH,333013,446934,7.2,5.9
COX GREEN,11,BOLTON,KEARSLEY,371893,413641,12,4.4
CRAGGS ROW,6.6,RIBBLE,PENWORTHAM ,353740,430080,7.2,5.8
CROWN LANE,11,WESTHOUGHTON,KEARSLEY,362706,410859,7.6,3.1
CULCHETH,11,GOLBORNE,BOLD,365430,395366,7.6,2.6
CUTACRE,11,KEARSLEY LOCAL,KEARSLEY,369848,404515,12,17.5
DALTON,11,ULVERSTON,HARKER,323582,474255,7.6,1.5
DEANSGATE,6.6,BLOOM ST,SOUTH MANCHESTER,383463,398149,7.2,10.4
DENTON EAST,6.6,DROYLSDEN,STALYBRIDGE,392394,395626,7.2,10.6
