postcode,epc,hpr
RG8 7AU,63.5,0.83
RG8 8NT,58.5,0.94
RG7 5FJ,82.4,1.11
RG17 7SX,41.9,0.67
RG31 6NX,61.5,0.85
RG8 7LY,55.2,0.73
RG19 4PF,77.1,1.05
RG20 8AU,56.6,0.87
RG18 9EY,54.7,0.81
RG14 7BE,63.5,0.85
RG31 5UH,60.9,0.9
RG19 8BR,55.1,0.9
RG7 5UG,47.7,0.74
RG14 1BY,77.4,1.03
RG17 0AQ,61.2,0.8
RG8 9QT,61.6,0.87
RG14 5JG,53.6,0.65
RG7 3HD,63.0,0.93
RG7 4JS,54.7,0.93
RG14 7XD,69.2,1.01
RG8 8JR,48.8,0.84
RG14 6HT,59.0,0.87
RG14 2FA,71.5,1.03
RG7 6RA,52.7,0.86
RG8 7BQ,71.8,0.97
RG17 0AH,62.8,0.79
RG19 4RD,74.7,1.05
RG14 7EZ,77.6,1.02
RG31 4RJ,62.4,0.83
RG14 2JA,72.4,1.02
RG14 3AA,56.6,0.88
RG18 3DB,57.2,0.8
RG19 3UT,64.8,0.87
RG14 1BX,78.3,1.03
RG7 4PG,39.3,0.78
RG14 5JN,51.9,0.68
RG18 3DN,62.8,0.89
RG7 5DQ,63.4,0.94
RG18 9NB,49.2,0.93
RG31 4SU,60.1,0.85
RG18 9EH,46.8,0.98
RG20 6QS,48.7,0.8
RG30 4QB,67.1,0.98
RG14 5DJ,77.5,1.01
RG14 6DN,62.2,0.89
RG14 7UD,73.9,0.98
RG20 7AX,56.5,0.98
RG14 6PA,61.3,0.83
RG14 5NQ,65.9,0.96
RG31 6FW,66.7,0.96
RG14 7BS,63.5,0.87
RG30 3BR,78.4,1.07
RG31 5XT,62.7,0.88
RG19 4QH,71.0,0.98
RG18 4BT,67.8,1.0
RG17 0LL,60.3,0.91
RG20 6NX,53.9,0.88
RG31 7AP,66.2,0.95
RG17 7LZ,59.0,0.94
RG31 5UJ,63.4,0.96
RG19 3XU,62.9,0.93
RG14 2PJ,51.3,0.79
RG7 3LD,65.9,0.93
RG31 6NT,62.6,0.97
RG17 0AS,62.4,0.91
RG18 3DP,61.6,0.85
RG14 2JH,66.3,0.94
RG14 1RL,60.3,0.9
RG18 9WS,77.5,1.04
RG14 2NQ,62.8,0.93
RG20 8SH,40.4,0.66
RG14 6JT,60.7,0.9
RG8 9JJ,60.3,0.83
RG14 6HU,55.7,0.85
RG17 9XG,55.7,0.89
RG18 4LT,60.6,0.86
RG31 4XN,56.4,0.74
RG17 7EN,56.1,0.97
RG17 0JR,65.2,0.91
RG18 3UE,65.6,0.82
RG18 3FY,66.0,0.98
RG30 3FP,86.3,1.06
RG7 5HU,61.2,1.01
RG7 5BG,56.7,0.78
RG8 8HA,53.0,0.83
RG14 7PE,57.5,0.67
RG31 6YJ,68.1,1.0
RG20 6PD,79.1,1.17
RG14 7BY,51.5,0.69
RG7 3AG,80.1,1.11
RG7 3ES,57.7,0.82
RG7 3NW,64.1,0.96
RG19 8SS,66.6,1.01
RG20 8HB,46.9,0.71
RG14 2FP,80.3,1.01
RG14 5NF,73.4,0.98
RG31 7ZT,69.2,0.98
RG17 7SB,53.4,0.76
RG30 3FG,83.9,1.09
RG14 6RS,63.1,0.95
RG7 6QS,53.2,0.9
RG18 3BP,62.4,0.89
RG17 0AP,63.9,0.95
RG20 0BJ,50.1,0.72
RG14 7DH,58.3,0.85
RG31 5TQ,60.5,0.88
RG17 0BD,63.3,0.91
RG31 7RT,68.7,0.92
RG18 9WN,83.9,1.18
RG30 3SB,59.2,0.87
RG7 5TT,42.5,0.67
RG20 8TD,69.0,1.03
RG17 8XL,59.6,0.83
RG14 1GD,83.8,1.11
RG14 2DH,76.8,0.99
RG14 5HE,61.7,0.69
RG7 3AR,47.0,0.63
RG7 2AB,50.8,0.84
RG17 7HL,53.5,0.87
RG14 7PB,55.6,0.77
RG17 0JH,53.4,0.67
RG7 3RU,54.7,0.85
RG14 6AX,56.7,0.72
RG17 9DW,43.8,0.74
RG30 3RH,42.7,0.73
RG7 3JR,66.7,0.94
RG7 5FN,78.6,1.15
RG17 8QQ,64.8,1.0
RG14 2LN,63.8,0.91
RG14 5XE,72.0,0.99
RG17 0AW,53.5,0.83
RG18 4EL,60.8,0.94
RG20 6RQ,59.4,0.81
RG14 5LQ,77.6,1.05
RG7 4HZ,82.7,1.15
RG14 7PP,73.8,1.05
RG19 4GT,68.3,0.99
RG20 8QQ,46.5,0.9
RG17 8XF,79.5,1.0
RG18 0RZ,40.4,0.53
RG14 2BH,57.5,0.75
RG8 8HG,55.5,0.9
RG17 9XP,60.2,0.94
RG14 7UZ,75.7,1.03
RG7 6PU,59.5,0.77
RG8 8LN,55.7,0.88
RG18 9LX,42.6,0.67
RG18 4ET,65.4,0.97
RG31 6FP,65.6,0.95
